data,model,phonol_emb,fixed_emb,emsize,nhid,nlayers,lr,anneal_factor,anneal_train,patience,clip,epochs,dropout,tied,seed,cuda,stress,log_interval,save_dir,summary,condition,run,feat_tree,alphabet,set_unset_nodes,random_reset,epoch,train_loss,val_loss,val_ppl,epoch_time,current_lr,run_cond
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,12,1.9677538855095704,2.7341271484375,15.396298885695469,135.18029761314392,0.015625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,13,1.9584675292154152,2.733648828125,15.388936284182424,134.8523600101471,0.00390625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,14,1.956144254652659,2.73274296875,15.37500238400799,135.95864152908325,0.0009765625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,15,1.9558993118623893,2.7325380859375,15.371852632953312,135.0057168006897,0.000244140625,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,16,1.9566171843091646,2.732451171875,15.370516660851052,134.99862337112427,6.103515625e-05,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,17,1.9567306356847287,2.73237890625,15.369405940991898,135.09684920310974,1.52587890625e-05,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,18,1.9553369952479998,2.7322888671875,15.368022156388058,134.92455005645752,3.814697265625e-06,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,19,1.9557057138959566,2.7322912109375,15.368058175232195,134.82707738876343,9.5367431640625e-07,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,20,1.9550209957619509,2.7322853515625,15.367968128280136,136.73475670814514,2.384185791015625e-07,0-1
data/celex_ipa_lemmas/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,1,True,True,200,results/celex_lemma_impatient_25runs/0-1,results/celex_lemma_impatient_25runs/summary.csv,0,1,Futrell,IPA,True,False,21,1.9553353049655755,2.7322853515625,15.367968128280136,135.57067012786865,5.960464477539063e-08,0-1
