word,len,split_name,0-0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-17,0-18,0-19,0-20,0-21,0-22,0-23,0-24,1-0,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24
f w ɛ1 z ɪ g,6,data/daland_test.txt,32.21741485595703,34.268836975097656,35.7408332824707,32.33808135986328,36.60797882080078,34.9102783203125,32.5728759765625,34.90355682373047,32.94573211669922,34.29705047607422,39.15148162841797,33.36406326293945,37.295562744140625,35.16704177856445,33.3980827331543,32.762760162353516,34.11244201660156,39.43061828613281,36.954925537109375,33.42861557006836,36.20926284790039,33.55038833618164,34.22602462768555,30.158729553222656,31.6671142578125,32.102821350097656,35.18150329589844,35.110313415527344,33.227027893066406,31.171897888183594,37.80597686767578,31.771167755126953,35.588096618652344,32.20954132080078,36.403907775878906,33.657501220703125,33.86253356933594,32.773250579833984,35.60139846801758,34.876277923583984,41.08728790283203,29.736835479736328,34.52339553833008,35.308616638183594,33.84791946411133,35.7302360534668,30.765066146850586,33.39911651611328,35.901344299316406,37.17388153076172
g l ɛ1 p ɪ d,6,data/daland_test.txt,23.08441162109375,24.234249114990234,24.975448608398438,19.303762435913086,26.159526824951172,21.236913681030273,23.58380889892578,26.475194931030273,19.540985107421875,25.235782623291016,24.030595779418945,26.54443359375,24.90439224243164,26.393035888671875,22.15062713623047,21.160533905029297,21.776918411254883,25.09247589111328,25.449119567871094,26.463441848754883,23.2332763671875,21.52354621887207,19.876041412353516,20.253997802734375,29.126800537109375,19.449275970458984,24.1728515625,26.030834197998047,24.356014251708984,19.953866958618164,27.14759063720703,20.162887573242188,25.01523208618164,21.320507049560547,23.077299118041992,24.91278076171875,27.398744583129883,21.883840560913086,25.989742279052734,23.177810668945312,24.538606643676758,19.16413688659668,25.455780029296875,23.943147659301758,25.355815887451172,24.07294464111328,20.578351974487305,19.485671997070312,24.832569122314453,22.453672409057617
g l ɑ1ː t ɪ f,6,data/daland_test.txt,27.57592010498047,28.200027465820312,26.379060745239258,26.433555603027344,34.30454635620117,26.184968948364258,24.372730255126953,26.07731056213379,26.36273956298828,29.66611099243164,25.167015075683594,28.634822845458984,29.689842224121094,29.139171600341797,25.14556884765625,25.01279640197754,30.03675651550293,30.037311553955078,29.106239318847656,28.304365158081055,29.250402450561523,25.18701171875,28.978439331054688,24.65622329711914,30.236412048339844,25.738826751708984,30.159448623657227,28.00855255126953,29.75641632080078,22.398487091064453,26.524280548095703,24.227397918701172,28.04041290283203,25.245166778564453,31.953460693359375,30.730871200561523,30.014312744140625,27.62520408630371,29.20831298828125,29.3272705078125,30.10696792602539,23.394886016845703,26.372922897338867,29.38409423828125,29.5489501953125,26.272293090820312,23.434818267822266,27.337316513061523,31.312726974487305,23.690658569335938
g ɹ i1ː b ɪ d,6,data/daland_test.txt,24.228328704833984,24.513587951660156,25.882505416870117,20.424362182617188,28.77490234375,24.155532836914062,19.918466567993164,24.17949676513672,22.124683380126953,25.383596420288086,22.136634826660156,29.330921173095703,23.78158950805664,22.318016052246094,21.248043060302734,23.947141647338867,25.32626724243164,22.219125747680664,25.152511596679688,23.999053955078125,23.523881912231445,21.326892852783203,20.53520965576172,21.08021354675293,27.67041015625,23.20936393737793,22.400211334228516,23.03399085998535,24.81336784362793,18.890182495117188,23.47327423095703,21.31668472290039,21.441099166870117,22.703229904174805,23.803333282470703,26.004783630371094,24.260150909423828,22.38825035095215,25.965167999267578,23.176631927490234,24.247989654541016,17.08072853088379,23.785058975219727,24.619892120361328,23.579389572143555,25.381044387817383,22.02542495727539,22.270891189575195,22.403120040893555,20.49611473083496
g ɹ ɑ1ː t ɪ f,6,data/daland_test.txt,26.765226364135742,29.19943618774414,29.700544357299805,25.885841369628906,30.917037963867188,29.19743537902832,25.331722259521484,28.72064971923828,27.40889549255371,31.604896545410156,25.280193328857422,28.910179138183594,29.212966918945312,29.76470184326172,24.54567527770996,29.23460578918457,32.604339599609375,31.159217834472656,29.0607967376709,27.311111450195312,30.255306243896484,25.90239906311035,28.091567993164062,25.158483505249023,27.810623168945312,23.64923095703125,28.646352767944336,27.485759735107422,28.225574493408203,24.276851654052734,27.85258674621582,24.054401397705078,28.76303482055664,24.440765380859375,30.188194274902344,29.76742935180664,31.178632736206055,28.960107803344727,31.275516510009766,29.219341278076172,29.46159553527832,23.372146606445312,27.604537963867188,33.29817581176758,27.857709884643555,29.076175689697266,25.03972053527832,26.310871124267578,28.292097091674805,27.536596298217773
g w i1ː b ɪ d,6,data/daland_test.txt,27.50564956665039,32.55419921875,30.951242446899414,27.710041046142578,33.85749053955078,27.879070281982422,26.327451705932617,28.522216796875,28.164234161376953,28.608642578125,28.624387741088867,31.18731689453125,29.060575485229492,27.840656280517578,28.708728790283203,28.383834838867188,30.66822052001953,32.226478576660156,28.55820655822754,29.47812271118164,31.782840728759766,27.53316879272461,29.090839385986328,25.778522491455078,32.69921112060547,28.96648597717285,29.262020111083984,28.311073303222656,31.522289276123047,25.785003662109375,30.57537841796875,28.61032485961914,29.692209243774414,31.508150100708008,30.41155242919922,29.70705795288086,32.63527297973633,28.461322784423828,31.363971710205078,30.802658081054688,31.086463928222656,22.26053237915039,29.55290985107422,29.751863479614258,36.95596694946289,33.51017761230469,27.03754234313965,27.074480056762695,30.405941009521484,30.835968017578125
g w ɑ1ː t ɪ f,6,data/daland_test.txt,27.291921615600586,31.300092697143555,31.39617347717285,29.32992172241211,35.22705078125,28.68690299987793,28.894115447998047,32.163387298583984,29.375652313232422,33.48622512817383,29.83746910095215,32.0128173828125,36.647850036621094,33.96045684814453,27.454151153564453,32.31459426879883,37.63006591796875,37.550132751464844,35.15862274169922,31.707199096679688,36.3581657409668,29.970853805541992,29.182777404785156,29.118614196777344,31.75387954711914,29.378820419311523,32.85292053222656,29.521686553955078,32.58473587036133,28.31004524230957,30.522865295410156,28.6058349609375,33.131446838378906,27.736263275146484,31.797168731689453,32.42115020751953,32.92412567138672,33.34251403808594,33.1794319152832,32.5699577331543,33.680145263671875,27.96522331237793,30.551464080810547,33.85210037231445,31.031944274902344,33.9463005065918,30.189983367919922,29.352340698242188,33.307350158691406,32.45357131958008
k l i1ː b ɪ d,6,data/daland_test.txt,25.957019805908203,26.236968994140625,23.035404205322266,20.757225036621094,26.416194915771484,24.646739959716797,21.669002532958984,25.351593017578125,22.02637481689453,20.92102813720703,23.106170654296875,28.809650421142578,22.651622772216797,22.974576950073242,21.511268615722656,21.017696380615234,22.884414672851562,21.126386642456055,24.241641998291016,23.14606475830078,23.877132415771484,21.05530548095703,22.138263702392578,19.940929412841797,27.966793060302734,22.439008712768555,23.304914474487305,22.56183433532715,22.76995849609375,20.53601837158203,22.839031219482422,23.35592269897461,22.032108306884766,22.01952362060547,23.72966957092285,24.314449310302734,24.583520889282227,20.944610595703125,23.12714195251465,20.73378562927246,23.92777442932129,16.33919906616211,23.606693267822266,24.802064895629883,28.103557586669922,23.445632934570312,19.041614532470703,24.157140731811523,25.219661712646484,22.125652313232422
k l ɑ1ː s ɪ p,6,data/daland_test.txt,18.891555786132812,18.848499298095703,18.698261260986328,16.215248107910156,21.039588928222656,23.12846565246582,19.317157745361328,17.880733489990234,20.680259704589844,19.826984405517578,18.942842483520508,20.96453094482422,18.94503402709961,18.08400535583496,16.352163314819336,17.947677612304688,20.68869972229004,20.052593231201172,18.259111404418945,19.566242218017578,19.969022750854492,17.749412536621094,18.86300277709961,18.039249420166016,20.513246536254883,15.526586532592773,20.106746673583984,17.55284881591797,17.79827117919922,19.32500457763672,18.072269439697266,19.930715560913086,19.62090492248535,19.944995880126953,20.998146057128906,18.896228790283203,21.223960876464844,17.93239402770996,19.27082061767578,19.951513290405273,21.866928100585938,17.209285736083984,21.43718719482422,22.43929100036621,17.963031768798828,19.741657257080078,18.06400489807129,18.164703369140625,19.255126953125,18.715801239013672
k m ɛ1 p ɪ d,6,data/daland_test.txt,31.441452026367188,30.347763061523438,35.469879150390625,31.678050994873047,32.23186492919922,28.896570205688477,30.71490478515625,31.828115463256836,35.150535583496094,32.76927185058594,30.972537994384766,32.190574645996094,33.40718078613281,33.31178283691406,31.92650604248047,31.090816497802734,27.402854919433594,32.58721923828125,33.410430908203125,34.235965728759766,35.05803680419922,28.64974594116211,30.355915069580078,27.83306884765625,34.37281036376953,25.101608276367188,33.61394500732422,31.164813995361328,31.932910919189453,24.57264518737793,30.601688385009766,27.464460372924805,33.99217224121094,28.82529067993164,30.220821380615234,34.27031707763672,32.431427001953125,25.56366729736328,33.80561828613281,33.53384017944336,34.379302978515625,26.201892852783203,33.9589958190918,30.496625900268555,32.46995162963867,30.612037658691406,28.866397857666016,28.656444549560547,32.336280822753906,32.38792419433594
